Week_Start,Week_End,Gross,Attendance,Percent_Capacity,Number_of_Previews,Number_of_Perf
10/6/2003,10/12/2003,"662,666.00","10,519",99%,6,0
10/13/2003,10/19/2003,"821,248.00","13,705",97%,8,0
10/20/2003,10/26/2003,"732,199.00","12,313",99%,7,0
10/27/2003,11/2/2003,"799,286.00","12,577",89%,4,4
11/3/2003,11/9/2003,"892,085.00","13,505",95%,0,8
11/10/2003,11/16/2003,"926,289.00","13,878",98%,0,8
11/17/2003,11/23/2003,"886,753.00","13,648",96%,0,8
11/24/2003,11/30/2003,"1,121,308.00","14,184",100%,0,8
12/1/2003,12/7/2003,"1,010,245.00","13,323",94%,0,8
12/8/2003,12/14/2003,"1,023,594.00","13,518",95%,0,8
12/15/2003,12/21/2003,"1,042,819.00","13,653",96%,0,8
12/22/2003,12/28/2003,"1,182,972.00","14,184",100%,0,8
12/29/2003,1/4/2004,"1,188,937.00","14,184",100%,0,8
1/5/2004,1/11/2004,"1,018,069.00","13,561",96%,0,8
1/12/2004,1/18/2004,"1,013,453.00","13,501",95%,0,8
1/19/2004,1/25/2004,"1,004,090.00","13,487",95%,0,8
1/26/2004,2/1/2004,"951,831.00","13,591",96%,0,8
2/2/2004,2/8/2004,"944,793.00","13,671",96%,0,8
2/9/2004,2/15/2004,"1,001,323.00","13,649",96%,0,8
2/16/2004,2/22/2004,"1,064,731.00","14,184",100%,0,8
2/23/2004,2/29/2004,"1,010,324.00","13,779",97%,0,8
3/1/2004,3/7/2004,"956,417.00","13,170",93%,0,8
3/8/2004,3/14/2004,"1,064,717.00","14,184",100%,0,8
3/15/2004,3/21/2004,"1,081,471.00","14,184",100%,0,8
3/22/2004,3/28/2004,"1,070,189.00","14,184",100%,0,8
3/29/2004,4/4/2004,"1,101,014.00","14,184",100%,0,8
4/5/2004,4/11/2004,"1,134,594.00","14,184",100%,0,8
4/12/2004,4/18/2004,"1,104,830.00","14,184",100%,0,8
4/19/2004,4/25/2004,"1,082,387.00","14,184",100%,0,8
4/26/2004,5/2/2004,"1,065,341.00","14,184",100%,0,8
5/3/2004,5/9/2004,"1,092,029.00","14,153",100%,0,8
5/10/2004,5/16/2004,"1,080,711.00","14,184",100%,0,8
5/17/2004,5/23/2004,"1,106,282.00","14,184",100%,0,8
5/24/2004,5/30/2004,"1,107,202.00","14,184",100%,0,8
5/31/2004,6/6/2004,"953,935.00","12,411",100%,0,7
6/7/2004,6/13/2004,"1,270,693.00","15,957",100%,0,9
6/14/2004,6/20/2004,"1,124,528.00","14,184",100%,0,8
6/21/2004,6/27/2004,"1,135,355.00","14,184",100%,0,8
6/28/2004,7/4/2004,"1,142,867.00","14,184",100%,0,8
7/5/2004,7/11/2004,"1,142,433.00","14,184",100%,0,8
7/12/2004,7/18/2004,"1,166,136.00","14,184",100%,0,8
7/19/2004,7/25/2004,"1,172,927.00","14,184",100%,0,8
7/26/2004,8/1/2004,"1,174,985.00","14,184",100%,0,8
8/2/2004,8/8/2004,"1,187,804.00","14,472",100%,0,8
